date,btc_price,market_cap_btc,trading_vol_btc,breakeven_5y,dxy_close,sp500_close,month,cpi_raw,cpi_yoy_pct,btc_monthly_avg
2013-08-27,125.67,1459371151.0,0.0,1.86,81.16999816894531,1630.47998046875,2013-08,233.456,,113.73258064516129
2013-08-28,123.02,1429111038.0,0.0,1.85,81.41999816894531,1634.9599609375,2013-08,233.456,,113.73258064516129
2013-08-29,123.44,1434594992.0,0.0,1.8,81.94999694824219,1638.1700439453125,2013-08,233.456,,113.73258064516129
2013-08-30,129.2,1502172870.0,0.0,1.78,82.08999633789062,1632.969970703125,2013-08,233.456,,113.73258064516129
2013-08-31,137.76,1602407100.0,0.0,1.78,82.08999633789062,1632.969970703125,2013-08,233.456,,113.73258064516129
2013-09-01,138.17,1607960283.0,0.0,1.78,82.08999633789062,1632.969970703125,2013-09,233.544,,130.714
2013-09-02,137.17,1597132036.0,0.0,1.78,82.08999633789062,1632.969970703125,2013-09,233.544,,130.714
2013-09-03,137.51,1601702729.0,0.0,1.76,82.36000061035156,1639.77001953125,2013-09,233.544,,130.714
2013-09-04,135.21,1575534525.0,0.0,1.74,82.16999816894531,1653.0799560546875,2013-09,233.544,,130.714
2013-09-05,129.96,1514888487.0,0.0,1.71,82.62999725341797,1655.0799560546875,2013-09,233.544,,130.714
2013-09-06,126.13,1470861842.0,0.0,1.71,82.1500015258789,1655.1700439453125,2013-09,233.544,,130.714
2013-09-07,123.73,1443353756.0,0.0,1.71,82.1500015258789,1655.1700439453125,2013-09,233.544,,130.714
2013-09-08,121.77,1420952396.0,0.0,1.71,82.1500015258789,1655.1700439453125,2013-09,233.544,,130.714
2013-09-09,126.4,1475596760.0,0.0,1.69,81.79000091552734,1671.7099609375,2013-09,233.544,,130.714
2013-09-10,127.78,1492304286.0,0.0,1.74,81.81999969482422,1683.989990234375,2013-09,233.544,,130.714
2013-09-11,131.65,1538132775.0,0.0,1.76,81.5199966430664,1689.1300048828125,2013-09,233.544,,130.714
2013-09-12,134.22,1568874092.0,0.0,1.75,81.48999786376953,1683.4200439453125,2013-09,233.544,,130.714
2013-09-13,135.05,1579271324.0,0.0,1.75,81.44999694824219,1687.989990234375,2013-09,233.544,,130.714
2013-09-14,131.39,1537187451.0,0.0,1.75,81.44999694824219,1687.989990234375,2013-09,233.544,,130.714
2013-09-15,129.95,1520967287.0,0.0,1.75,81.44999694824219,1687.989990234375,2013-09,233.544,,130.714
2013-09-16,131.48,1539430293.0,0.0,1.76,81.25,1697.5999755859375,2013-09,233.544,,130.714
2013-09-17,131.31,1538014334.0,0.0,1.79,81.16999816894531,1704.760009765625,2013-09,233.544,,130.714
2013-09-18,132.06,1547280990.0,0.0,1.84,80.23999786376953,1725.52001953125,2013-09,233.544,,130.714
2013-09-19,130.23,1526484433.0,0.0,1.83,80.36000061035156,1722.3399658203125,2013-09,233.544,,130.714
2013-09-20,128.57,1507618248.0,0.0,1.85,80.44000244140625,1709.9100341796875,2013-09,233.544,,130.714
2013-09-21,126.78,1487211807.0,0.0,1.85,80.44000244140625,1709.9100341796875,2013-09,233.544,,130.714
2013-09-22,128.37,1506534274.0,0.0,1.85,80.44000244140625,1709.9100341796875,2013-09,233.544,,130.714
2013-09-23,126.73,1487984454.0,0.0,1.84,80.44999694824219,1701.8399658203125,2013-09,233.544,,130.714
2013-09-24,126.09,1481135098.0,0.0,1.77,80.55999755859375,1697.4200439453125,2013-09,233.544,,130.714
2013-09-25,127.99,1504122481.0,0.0,1.79,80.33000183105469,1692.77001953125,2013-09,233.544,,130.714
2013-09-26,128.02,1505025524.0,0.0,1.77,80.5199966430664,1698.6700439453125,2013-09,233.544,,130.714
2013-09-27,131.84,1550524096.0,0.0,1.76,80.2699966430664,1691.75,2013-09,233.544,,130.714
2013-09-28,133.93,1575663012.0,0.0,1.76,80.2699966430664,1691.75,2013-09,233.544,,130.714
2013-09-29,140.28,1650965841.0,0.0,1.76,80.2699966430664,1691.75,2013-09,233.544,,130.714
2013-09-30,131.65,1549941780.0,0.0,1.74,80.22000122070312,1681.550048828125,2013-09,233.544,,130.714
2013-10-01,132.55,1561200410.0,0.0,1.77,80.0999984741211,1695.0,2013-10,233.669,,157.7274193548387
2013-10-02,132.04,1555751397.0,0.0,1.8,79.87999725341797,1693.8699951171875,2013-10,233.669,,157.7274193548387
2013-10-03,123.07,1450746083.0,0.0,1.77,79.7699966430664,1678.6600341796875,2013-10,233.669,,157.7274193548387
2013-10-04,128.26,1512486811.0,0.0,1.79,80.12000274658203,1690.5,2013-10,233.669,,157.7274193548387
2013-10-05,129.57,1528611793.0,0.0,1.79,80.12000274658203,1690.5,2013-10,233.669,,157.7274193548387
2013-10-06,127.56,1505549223.0,0.0,1.79,80.12000274658203,1690.5,2013-10,233.669,,157.7274193548387
2013-10-07,128.38,1515724889.0,0.0,1.79,79.94000244140625,1676.1199951171875,2013-10,233.669,,157.7274193548387
2013-10-08,125.72,1484816060.0,0.0,1.76,80.05999755859375,1655.449951171875,2013-10,233.669,,157.7274193548387
2013-10-09,130.9,1546580228.0,0.0,1.78,80.37000274658203,1656.4000244140625,2013-10,233.669,,157.7274193548387
2013-10-10,129.68,1532820842.0,0.0,1.81,80.41999816894531,1692.56005859375,2013-10,233.669,,157.7274193548387
2013-10-11,130.27,1540367845.0,0.0,1.79,80.36000061035156,1703.199951171875,2013-10,233.669,,157.7274193548387
2013-10-12,135.35,1601082220.0,0.0,1.79,80.36000061035156,1703.199951171875,2013-10,233.669,,157.7274193548387
2013-10-13,135.48,1603402413.0,0.0,1.79,80.36000061035156,1703.199951171875,2013-10,233.669,,157.7274193548387
2013-10-14,140.48,1663458800.0,0.0,1.79,80.26000213623047,1710.1400146484375,2013-10,233.669,,157.7274193548387
2013-10-15,143.89,1704751164.0,0.0,1.79,80.4800033569336,1698.06005859375,2013-10,233.669,,157.7274193548387
2013-10-16,143.61,1702245233.0,0.0,1.79,80.5,1721.5400390625,2013-10,233.669,,157.7274193548387
2013-10-17,146.15,1732995548.0,0.0,1.77,79.6500015258789,1733.1500244140625,2013-10,233.669,,157.7274193548387
2013-10-18,151.34,1795176162.0,0.0,1.78,79.63999938964844,1744.5,2013-10,233.669,,157.7274193548387
2013-10-19,170.51,2023531688.0,0.0,1.78,79.63999938964844,1744.5,2013-10,233.669,,157.7274193548387
2013-10-20,172.01,2042261829.0,0.0,1.78,79.63999938964844,1744.5,2013-10,233.669,,157.7274193548387
2013-10-21,181.41,2154778910.0,0.0,1.79,79.68000030517578,1744.6600341796875,2013-10,233.669,,157.7274193548387
2013-10-22,193.45,2298993654.0,0.0,1.76,79.23999786376953,1754.6700439453125,2013-10,233.669,,157.7274193548387
2013-10-23,206.78,2458505640.0,0.0,1.76,79.26000213623047,1746.3800048828125,2013-10,233.669,,157.7274193548387
2013-10-24,198.8,2364666360.0,0.0,1.77,79.19000244140625,1752.0699462890625,2013-10,233.669,,157.7274193548387
2013-10-25,172.48,2052637048.0,0.0,1.77,79.18000030517578,1759.77001953125,2013-10,233.669,,157.7274193548387
2013-10-26,178.96,2130644072.0,0.0,1.77,79.18000030517578,1759.77001953125,2013-10,233.669,,157.7274193548387
2013-10-27,189.83,2260913266.0,0.0,1.77,79.18000030517578,1759.77001953125,2013-10,233.669,,157.7274193548387
2013-10-28,198.55,2365643830.0,0.0,1.79,79.25,1762.1099853515625,2013-10,233.669,,157.7274193548387
2013-10-29,204.39,2436022215.0,0.0,1.76,79.62999725341797,1771.949951171875,2013-10,233.669,,157.7274193548387
2013-10-30,204.2,2434768490.0,0.0,1.77,79.75,1763.31005859375,2013-10,233.669,,157.7274193548387
2013-10-31,203.88,2432069229.0,0.0,1.74,80.19999694824219,1756.5400390625,2013-10,233.669,,157.7274193548387
